R_e,A@e,Method,RA@e,gini,p value,Run,SPH Executed,info loss,SPH A@1,CPI A@1,Avg Acc SPH+CPI,Avg RA
3,0.5333333333333333,CPI,1.43125,0.2,0.85,,,,,,,
4,0.6,CPI,1.7166666666666666,0.2,0.85,,,,,,,
5,0.6266666666666667,CPI,1.8563829787234043,0.2,0.85,,,,,,,
6,0.6666666666666666,CPI,2.105,0.2,0.85,,,,,,,
7,0.6933333333333334,CPI,2.293269230769231,0.2,0.85,,,,,,,
8,0.7166666666666667,CPI,2.4790697674418603,0.2,0.85,,,,,,,
9,0.7466666666666667,CPI,2.7410714285714284,0.2,0.85,,,,,,,
10,0.7666666666666667,CPI,2.9304347826086956,0.2,0.85,,,,,,,
1,0.43666666666666665,Tailored Approach,1.0,0.2,0.85,1.0,9.0,0.35,0.4633333333333333,0.36666666666666664,0.7096666666666666,1.8554260820165016
2,0.5533333333333333,Tailored Approach,1.2108433734939759,0.2,0.85,1.0,9.0,0.35,0.4633333333333333,0.36666666666666664,0.7096666666666666,1.8554260820165016
3,0.64,Tailored Approach,1.453125,0.2,0.85,1.0,9.0,0.35,0.4633333333333333,0.36666666666666664,0.7096666666666666,1.8554260820165016
4,0.7066666666666667,Tailored Approach,1.6933962264150944,0.2,0.85,1.0,9.0,0.35,0.4633333333333333,0.36666666666666664,0.7096666666666666,1.8554260820165016
5,0.7366666666666667,Tailored Approach,1.8280542986425339,0.2,0.85,1.0,9.0,0.35,0.4633333333333333,0.36666666666666664,0.7096666666666666,1.8554260820165016
6,0.7633333333333333,Tailored Approach,1.9737991266375545,0.2,0.85,1.0,9.0,0.35,0.4633333333333333,0.36666666666666664,0.7096666666666666,1.8554260820165016
7,0.78,Tailored Approach,2.0811965811965814,0.2,0.85,1.0,9.0,0.35,0.4633333333333333,0.36666666666666664,0.7096666666666666,1.8554260820165016
8,0.81,Tailored Approach,2.3004115226337447,0.2,0.85,1.0,9.0,0.35,0.4633333333333333,0.36666666666666664,0.7096666666666666,1.8554260820165016
