,Method,R_e,A@e,RA@e,Run,n_clusters,algorithm,n_components,max info loss,gini,p value
250,GMM,1,0.45,1.0,1,,GMM,26.0,,,
251,GMM,2,0.4766666666666667,1.055944055944056,1,,GMM,26.0,,,
252,GMM,3,0.5,1.1466666666666667,1,,GMM,26.0,,,
253,GMM,4,0.53,1.3081761006289307,1,,GMM,26.0,,,
254,GMM,5,0.5733333333333334,1.5872093023255813,1,,GMM,26.0,,,
255,GMM,6,0.5966666666666667,1.7597765363128492,1,,GMM,26.0,,,
256,GMM,7,0.62,1.956989247311828,1,,GMM,26.0,,,
257,GMM,8,0.6233333333333333,1.9893048128342246,1,,GMM,26.0,,,
258,GMM,9,0.6366666666666667,2.136125654450262,1,,GMM,26.0,,,
259,GMM,10,0.6466666666666666,2.2577319587628866,1,,GMM,26.0,,,
260,GMM,1,0.49666666666666665,1.0,1,,GMM,30.0,,,
261,GMM,2,0.5133333333333333,1.0324675324675325,1,,GMM,30.0,,,
262,GMM,3,0.5333333333333333,1.10625,1,,GMM,30.0,,,
263,GMM,4,0.5533333333333333,1.2108433734939759,1,,GMM,30.0,,,
264,GMM,5,0.5866666666666667,1.4261363636363635,1,,GMM,30.0,,,
265,GMM,6,0.6033333333333334,1.5524861878453038,1,,GMM,30.0,,,
266,GMM,7,0.6233333333333333,1.7272727272727273,1,,GMM,30.0,,,
267,GMM,8,0.6433333333333333,1.922279792746114,1,,GMM,30.0,,,
268,GMM,9,0.6533333333333333,2.0306122448979593,1,,GMM,30.0,,,
269,GMM,10,0.6666666666666666,2.19,1,,GMM,30.0,,,
270,GMM,1,0.49666666666666665,1.0,1,,GMM,35.0,,,
271,GMM,2,0.53,1.0628930817610063,1,,GMM,35.0,,,
272,GMM,3,0.5466666666666666,1.1219512195121952,1,,GMM,35.0,,,
273,GMM,4,0.5566666666666666,1.1736526946107784,1,,GMM,35.0,,,
274,GMM,5,0.5966666666666667,1.4301675977653632,1,,GMM,35.0,,,
275,GMM,6,0.6133333333333333,1.5543478260869565,1,,GMM,35.0,,,
276,GMM,7,0.63,1.6984126984126984,1,,GMM,35.0,,,
277,GMM,8,0.65,1.8923076923076922,1,,GMM,35.0,,,
278,GMM,9,0.6633333333333333,2.0351758793969847,1,,GMM,35.0,,,
279,GMM,10,0.68,2.230392156862745,1,,GMM,35.0,,,
280,GMM,1,0.48,1.0,1,,GMM,40.0,,,
281,GMM,2,0.5266666666666666,1.0886075949367089,1,,GMM,40.0,,,
282,GMM,3,0.5533333333333333,1.180722891566265,1,,GMM,40.0,,,
283,GMM,4,0.5833333333333334,1.3257142857142856,1,,GMM,40.0,,,
284,GMM,5,0.62,1.543010752688172,1,,GMM,40.0,,,
285,GMM,6,0.6333333333333333,1.6368421052631579,1,,GMM,40.0,,,
286,GMM,7,0.64,1.6927083333333333,1,,GMM,40.0,,,
287,GMM,8,0.6633333333333333,1.914572864321608,1,,GMM,40.0,,,
288,GMM,9,0.67,1.9850746268656716,1,,GMM,40.0,,,
289,GMM,10,0.69,2.217391304347826,1,,GMM,40.0,,,
290,GMM,1,0.48333333333333334,1.0,1,,GMM,45.0,,,
291,GMM,2,0.5266666666666666,1.0822784810126582,1,,GMM,45.0,,,
292,GMM,3,0.54,1.1296296296296295,1,,GMM,45.0,,,
293,GMM,4,0.56,1.2321428571428572,1,,GMM,45.0,,,
294,GMM,5,0.58,1.3620689655172413,1,,GMM,45.0,,,
295,GMM,6,0.5933333333333334,1.4662921348314606,1,,GMM,45.0,,,
296,GMM,7,0.61,1.6174863387978142,1,,GMM,45.0,,,
297,GMM,8,0.63,1.82010582010582,1,,GMM,45.0,,,
298,GMM,9,0.6366666666666667,1.8952879581151831,1,,GMM,45.0,,,
299,GMM,10,0.6466666666666666,2.020618556701031,1,,GMM,45.0,,,
300,GMM,1,0.4633333333333333,1.0,1,,GMM,50.0,,,
301,GMM,2,0.4866666666666667,1.047945205479452,1,,GMM,50.0,,,
302,GMM,3,0.5233333333333333,1.1847133757961783,1,,GMM,50.0,,,
303,GMM,4,0.5366666666666666,1.2546583850931676,1,,GMM,50.0,,,
304,GMM,5,0.55,1.3454545454545455,1,,GMM,50.0,,,
305,GMM,6,0.5633333333333334,1.455621301775148,1,,GMM,50.0,,,
306,GMM,7,0.58,1.6149425287356323,1,,GMM,50.0,,,
307,GMM,8,0.5866666666666667,1.6875,1,,GMM,50.0,,,
308,GMM,9,0.6066666666666667,1.9285714285714286,1,,GMM,50.0,,,
309,GMM,10,0.62,2.1021505376344085,1,,GMM,50.0,,,
310,SPH,1,0.5966666666666667,1.0,1,,,,0.25,,
311,SPH,2,0.6666666666666666,1.105,1,,,,0.25,,
312,SPH,3,0.7,1.1952380952380952,1,,,,0.25,,
313,SPH,4,0.7333333333333333,1.3227272727272728,1,,,,0.25,,
314,SPH,5,0.77,1.4978354978354977,1,,,,0.25,,
315,SPH,6,0.7833333333333333,1.574468085106383,1,,,,0.25,,
316,SPH,7,0.8,1.6875,1,,,,0.25,,
317,SPH,8,0.81,1.7654320987654322,1,,,,0.25,,
318,SPH,9,0.8166666666666667,1.8244897959183672,1,,,,0.25,,
319,SPH,10,0.8233333333333334,1.8906882591093117,1,,,,0.25,,
320,SPH,1,0.6166666666666667,1.0,1,,,,0.3,,
321,SPH,2,0.6766666666666666,1.0886699507389161,1,,,,0.3,,
322,SPH,3,0.71,1.1784037558685445,1,,,,0.3,,
323,SPH,4,0.7433333333333333,1.304932735426009,1,,,,0.3,,
324,SPH,5,0.7733333333333333,1.4482758620689655,1,,,,0.3,,
325,SPH,6,0.7866666666666666,1.5254237288135593,1,,,,0.3,,
326,SPH,7,0.8,1.6166666666666667,1,,,,0.3,,
327,SPH,8,0.81,1.6954732510288066,1,,,,0.3,,
328,SPH,9,0.8166666666666667,1.7551020408163265,1,,,,0.3,,
