Method,R_e,A@e,RA@e,Run,max info loss,n,f,mf,n_clusters,algorithm,n_components,gini,p value
GMM,1,0.32666666666666666,1.0,1,,1050,100,0.2,,GMM,30.0,,
GMM,2,0.4766666666666667,1.3146853146853146,1,,1050,100,0.2,,GMM,30.0,,
GMM,3,0.5333333333333333,1.49375,1,,1050,100,0.2,,GMM,30.0,,
GMM,4,0.5933333333333334,1.747191011235955,1,,1050,100,0.2,,GMM,30.0,,
GMM,5,0.6066666666666667,1.8186813186813187,1,,1050,100,0.2,,GMM,30.0,,
GMM,6,0.6233333333333333,1.9304812834224598,1,,1050,100,0.2,,GMM,30.0,,
GMM,7,0.65,2.1384615384615384,1,,1050,100,0.2,,GMM,30.0,,
GMM,8,0.6533333333333333,2.1683673469387754,1,,1050,100,0.2,,GMM,30.0,,
GMM,9,0.67,2.3383084577114426,1,,1050,100,0.2,,GMM,30.0,,
GMM,10,0.6833333333333333,2.4878048780487805,1,,1050,100,0.2,,GMM,30.0,,
GMM,1,0.30666666666666664,1.0,1,,1050,100,0.2,,GMM,35.0,,
GMM,2,0.4266666666666667,1.28125,1,,1050,100,0.2,,GMM,35.0,,
GMM,3,0.5,1.5333333333333334,1,,1050,100,0.2,,GMM,35.0,,
GMM,4,0.5466666666666666,1.7439024390243902,1,,1050,100,0.2,,GMM,35.0,,
GMM,5,0.5566666666666666,1.8023952095808384,1,,1050,100,0.2,,GMM,35.0,,
GMM,6,0.57,1.9005847953216375,1,,1050,100,0.2,,GMM,35.0,,
GMM,7,0.5733333333333334,1.930232558139535,1,,1050,100,0.2,,GMM,35.0,,
GMM,8,0.59,2.1016949152542375,1,,1050,100,0.2,,GMM,35.0,,
GMM,9,0.6033333333333334,2.25414364640884,1,,1050,100,0.2,,GMM,35.0,,
GMM,10,0.62,2.4623655913978495,1,,1050,100,0.2,,GMM,35.0,,
GMM,1,0.37333333333333335,1.0,1,,1050,100,0.2,,GMM,40.0,,
GMM,2,0.5066666666666667,1.263157894736842,1,,1050,100,0.2,,GMM,40.0,,
GMM,3,0.5933333333333334,1.5168539325842696,1,,1050,100,0.2,,GMM,40.0,,
GMM,4,0.6333333333333333,1.6736842105263159,1,,1050,100,0.2,,GMM,40.0,,
GMM,5,0.6666666666666666,1.84,1,,1050,100,0.2,,GMM,40.0,,
GMM,6,0.6833333333333333,1.9414634146341463,1,,1050,100,0.2,,GMM,40.0,,
GMM,7,0.69,1.9903381642512077,1,,1050,100,0.2,,GMM,40.0,,
GMM,8,0.6966666666666667,2.047846889952153,1,,1050,100,0.2,,GMM,40.0,,
GMM,9,0.71,2.1784037558685445,1,,1050,100,0.2,,GMM,40.0,,
GMM,10,0.7233333333333334,2.3225806451612905,1,,1050,100,0.2,,GMM,40.0,,
GMM,1,0.4033333333333333,1.0,1,,1050,100,0.2,,GMM,45.0,,
GMM,2,0.5566666666666666,1.2754491017964071,1,,1050,100,0.2,,GMM,45.0,,
GMM,3,0.62,1.4516129032258065,1,,1050,100,0.2,,GMM,45.0,,
GMM,4,0.6466666666666666,1.556701030927835,1,,1050,100,0.2,,GMM,45.0,,
GMM,5,0.6566666666666666,1.6091370558375635,1,,1050,100,0.2,,GMM,45.0,,
GMM,6,0.68,1.7598039215686274,1,,1050,100,0.2,,GMM,45.0,,
GMM,7,0.7,1.9095238095238096,1,,1050,100,0.2,,GMM,45.0,,
GMM,8,0.7033333333333334,1.938388625592417,1,,1050,100,0.2,,GMM,45.0,,
GMM,9,0.7266666666666667,2.165137614678899,1,,1050,100,0.2,,GMM,45.0,,
GMM,10,0.7466666666666667,2.375,1,,1050,100,0.2,,GMM,45.0,,
GMM,1,0.3333333333333333,1.0,1,,1050,100,0.2,,GMM,50.0,,
GMM,2,0.46,1.2753623188405796,1,,1050,100,0.2,,GMM,50.0,,
GMM,3,0.5433333333333333,1.539877300613497,1,,1050,100,0.2,,GMM,50.0,,
GMM,4,0.57,1.654970760233918,1,,1050,100,0.2,,GMM,50.0,,
GMM,5,0.5833333333333334,1.7314285714285715,1,,1050,100,0.2,,GMM,50.0,,
GMM,6,0.5966666666666667,1.8268156424581006,1,,1050,100,0.2,,GMM,50.0,,
GMM,7,0.6066666666666667,1.9120879120879122,1,,1050,100,0.2,,GMM,50.0,,
GMM,8,0.62,2.043010752688172,1,,1050,100,0.2,,GMM,50.0,,
GMM,9,0.6233333333333333,2.0802139037433154,1,,1050,100,0.2,,GMM,50.0,,
GMM,10,0.64,2.2864583333333335,1,,1050,100,0.2,,GMM,50.0,,
Birch,1,0.4533333333333333,1.0,1,,1050,100,0.2,10.0,Birch,,,
Birch,2,0.5966666666666667,1.2402234636871508,1,,1050,100,0.2,10.0,Birch,,,
